journal,is_ling,x1_includes_pre_study_peer_review,x2_offers_provisional_pre_study_acceptance,x3_permanence_of_adoption,x4_offered_for_novel_studies,x5_offered_for_replication_studies,x6_offered_for_meta_analysis,x7_offered_for_analyses_of_existing_data_sets,x8_publishes_registered_reports_only,x9_allows_reporting_of_unregistered_analyses,x10_includes_post_study_peer_review,x11_allows_inclusion_of_unregistered_pilot_studies,x12_requires_public_data_deposition,x13_specifies_structured_criteria_for_editorial_decisions,x14_requires_submitted_protocols_to_have_prior_ethical_approval,x15_specifies_minimum_statistical_power_requirements,x16_will_publish_withdrawn_registrations,x17_publishes_accepted_protocols_in_full_or_part_prior_to_study_completion,x18_offers_incremental_sequential_registration,x19_offers_incremental_addition_of_unregistered_studies,x20_offered_for_qualitative_research,x21_requires_deposition_of_protocol_in_public_registry_following_stage_1_acceptance
AAS Open Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Academy of Management Discoveries,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acta Psychologica,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Addiction Research & Theory,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Advances in Methods and Practices in Psychological Science,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,1
Affective Science,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
AMRC Open Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Analyses of Social Issues and Public Policy,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animal Behavior and Cognition,0,1,1,Indefinite,1,1,1,1,NA,1,1 (discretionary),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Animals,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA
Applied Cognitive Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Archive for the Psychology of Religion,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1 (when feasible),1,1,NA,1,1,1,1
Assessment,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1
"Attention, Perception, and Psychophysics",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auditory Perception and Cognition,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basic and Applied Social Psychology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Behavioral Neuroscience,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Bilingualism: Language and Cognition,1,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1
Biolinguistics,1,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1
Biological Psychiatry: Global Open Science,0,1,1,Indefinite,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biomedicine Hub,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMC Biology,0,1,1,Indefinite,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
BMC Medicine,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1 *but negotiable for trials,1,1,1,NA,NA,1,1
BMJ Open Science,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1 (optional in full),1,NA,NA,1
Brain and Behavior,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Brain and Cognition,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Brain and Neuroscience Advances,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Brain Communications,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
British Journal of Clinical Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
British Journal of Developmental Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
British Journal of Educational Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
British Journal of General Practice,0,1,1,Indefinite,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
British Journal of Health Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
British Journal of Mathematical and Statistical Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
British Journal of Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
British Journal of Social Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1
Buildings and Cites,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Business & Information Systems Engineering (BISE),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell Systematic Reviews,0,1,1,Indefinite,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Canadian Journal of Experimental Psychology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1
Canadian Journal of School Psychology,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1
Cancer Medicine,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Cancer Reports,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,NA,1
Cancers,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA
Clinical Endocrinology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1
Clinical Otolaryngology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Clinical Psychology in Europe,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Clocks and Sleep,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochrane Reviews,0,1,1,Indefinite,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1
Cogent Psychology,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Cognition and Emotion,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive Linguistics,1,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1
Cognitive Research: Principles and Implications,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
Collabra,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Communication Research Reports,0,1,1,Indefinite,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA
Comprehensive Results in Social Psychology,0,1,1,Indefinite,1,1,1,1,1,1,1 (discretionary),1,1,1,1,1,1,1,1,1,NA,NA
Computational Communication Research,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Computational Psychiatry,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consciousness and Cognition,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Conservation Biology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1
Cortex,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,"1
Note: journal also sets α=.02",1,NA,1,NA,NA,1
Crisis,0,1,1,Indefinite,1,1,TBA,TBA,TBA,1,1,TBA,TBA,TBA,TBA,TBA,TBA,NA,TBA,TBA,TBA,1
Cultural Diversity & Ethnic Minority Psychology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Culture and Evolution,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decision,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Developmental Cognitive Neuroscience,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Developmental Psychology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Developmental Science,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
Discourse Processes,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Discover Chemical Engineering,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Energy,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Internet of Things,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Materials,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Oncology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Social Science and Health,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Sustainability,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Discover Water,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1
Drug and Alcohol Dependence,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Ecology and Evolution,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1
Ecological Solutions and Evidence,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA
